label,topic_words
Arguing a point4,"naravno stvarno jako mislim reći pogotovo super recimo znam kažem obzira tiče posebno razliku ponavljam najgore priznati bitno kažeš
"
Recommendations,"postoji mogu hdzsdp postoje žele koristi necu može vole smiju koriste volio koristim preporučujem koristiti želim traže zanimaju reči
"
Life and relationships,"život živi životu života žive vezu živjeti svijet miru dom živim vezi umro stanju živio braku stan živiš živimo
"
Law and punishment,"pravu pravila kazna kazne kaznu prava zakona zakonu zla istine žrtve kriv zakone mira interesa kazniti granica šteta zakonima
"
Love and hate,"vec hoce mržnju nasilje voltaire mrznju ljubomora neces mržnja mrznja laz pljuvanje tvu klauski smece oruzje komplekse 34629 cije
"
Football cards 2,"stop kartona post pišem eurai pišete komšić karton vucic pišeš kartoni kartonima pisati 28476 kartone pisat napišem 3500 postu
"
Family,"dijete djecu djeca djece obitelji majka otac roditelji mama brat djeci sestra obitelj sin oca roditelja majke djeteta majku
"
Online media,"komentar komentare komentara članak portalu portal pisati portala 24sata clanak komentari novine pišu vijesti novinar riječi govora komentarima komentaru
"
Death and illness,"žena žene ljudi osoba osobe ženu smrt čovjeka osobu bolest smrti tijelo čovjek bolesti muškarca životinje ljude muškarci ženama
"
Music awards,"čast plenković pjesme pjeva knjige slave pjesmu pjesma nagrada pobjede slavi slavu reklama pjevao glazbe pobjeda pjevati pjesama kraljica
"
LGBTQI issues,"skupa normalno isključivo gay čisto redu posebnih malog malim malom velika mala posebnog zabraniti nikakva obična reda male seks
"
Mental health,"dna dno mile visoko bolesno strasno moral mentalno duševno efteling bolesne 26681 duhovno paycheck cemo retardirane med nebesa duboko
"
Solving problems,"problem pitanje problema pitanju riječ mišljenje stanje odgovor pomoći pomoć stvar pitanja temu situaciju probleme katastrofa novcu situacija slučaj
"
Go variants,"prošli rade prošlog idu ide vodi došao čeka dolaze pada vozio ići radili išao završio otišao krenuo došli odlaze
"
starting things,"možete početi mogu pokušati provjeriti trebali isprobala posjetiti nemojte počeo počela 1000 pogledati moći punim podijeliti započeo probati obaviti
"
Random3,"20000 zelite culej wwwwebjob33com dus kodd komsic tuzis cija ivanisevic 10kmh 23710 zainteresiranisimply adriano steve 29639 alves 13648 noba
"
Body parts,"zamisli vrata glavom cak usta glavu ruke bok rukom pamet nogom kuca riječi propast noge glave zidu rukama vratima
"
Pain and suffering,"boli paycheck bola plača bol zuba zaboli vida boljeti bolan zubi ad2 tuzi svrbi kita duševne nosa bolova patnje
"
Positivity1,"puno dobro par dovoljno dugo dobar para pun dobra dobre več puna loše taman puni lijepe lijepo dobrih obično
"
Consistency,"dalje svaka svako stalno svaku najmanje ostalo svake svakodnevno uvjek veći svaki redovito ostati veće svakoj polako većina uporno
"
Life and government,"znaci zena zivot zene zele drzava uopce zivota nacin bas vise cemu zivotu drzavi zasto ocito place zive zivi
"
Can inflections,"zove zovu zvati naziva nazivaju nosi bavi imenom nositi nazvati učiti pisali rođen vozim zaslužuje rodio cemo vozi naučiti
"
Spam7,"posao rad radim posla raditi poslu radeći rada radio poslove zarađivati radnim radiš radom podijelim poslovi radila poslova radnom
"
Opinions,"znam vidim vidi zna jasno mislim točno mislio vidio nadam vidiš vjerujem vidjeti vjerovati jako znati vidjeli znamo znali
"
Food and fuel prices,"vode smeće vodu nazad auta zrak gorivo jaja voda puše piće benzin voze goriva aute otpad kante meso mlijeko
"
Positivity2,"bolje dobro bolji lijepo dobar najbolje krivo lijep pametan dobri bolja sretno dobru lijepa loš pametni loše sretni pametno
"
Personal finances,"platiti plaće plaću novca prihoda novac novaca kredit cijena ponuda novce kredite plaćanja poreza cijenu zajam cijene plaća prihod
"
Profile,"svijetu postao svih profila svijeta postati vrsta postaje postali cijeloj vrste generacije postane broju cijele cijelom svjetski raznih pitanju
"
Little/big,"pravi mali veliki novi stari velika mladi dodatni velike masivna prave veliku stara nove mala stare stariji branitelji izvanrednu
"
Arguing a point 5,"vidim znam vidi nadam mislim vjerovati slažem vjerujem čuo razumijem vidjeti misliš znamo vidio znati osjećam mislio sjećam vidimo
"
Health & Fitness,"normalno pare normalan cesti normalni krvi hranu sport hrane normalne moru krv zdravo jesti zdravlje snage noći kruha novca
"
Said/wrote/did verbs,"rekao napravio kaže napisao piše kažu napravili napraviti rekla rekli radio napisati napravit napravi pita promijenilo napisala napravila napisali
"
Google spam,"google nece upute real user friendly pogledajte googlea slijedite pročitajte saznajte provjerite pogledaj provjera 5000 link racunalu 24961 4google
"
Targeted/personal insults,"mater jebem admine kurac pozdrav admin jebo dragi nabijem draga admina majmune dupe brate guzicu bre materina bosanac kreten
"
Legal procedure,"izgleda slučaju stoji čini razlika dolazi obzirom pokazuje nikakav zvuči ispada predstavlja dokaz tiče uvjerilo postoji razlike činjenica odnosu
"
Migrant crisis,"ljudi promjene ljude informacije osoba ljudima osobe dokaze nesposobni odlazak podatke dokumente kartu borbu migranti promjena osobama migranata brisanje
"
Random,"primjer zid san cilj razlog dokaz problem dio prosjek red most put strah film početak uspjeh pokušaj plan rezultat
"
Know/love/want verbs,"znači zna misli smeta zanima znaju voli želi volim smije misle odgovara znate želim znam vole ovisi želiš mislite
"
Perspective_adj,"politički fizički ekonomski medijski psihički financijski sustavno mentalno socijalni moralno intelektualno emocionalno 31864 socijalno tjelesno zdravstveni vucic tehnički društveno
"
Stopwords,"and you that are for this your city who with about new will from was his all they can
"
Like/alike,"tipa nekakav rangu nekakve slični obliku razni slične nekakva vidu nekakvu nekakvi tipu prostorima sistemu principu čitaj nikakav razno
"
Can inflections,"treba može mogu mora učiniti mogao moram napraviti možeš moraju trebalo odlučio trebali mogli pokušam trebao morao trebaju moraš
"
Border defences,"strane drugo prvo kraju strani rukama razini granice oružje timu obranu brani vrhu pada stranu čelu napada granici palo
"
Situational adjectives,"lako jednostavno jednostavan daleko sretan puno teško beskrajan brzo nevjerojatno iznenađujuće sigurno dovoljno lakše sretniji strašnoj jednostavna nevjerojatan siguran
"
